route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
OCEDB-87212464-80191031,4,OCEDB081462F020021790,"81462",0,,
OCEDB-87212464-80191031,4624,OCEDB081480F020021813,"81480",0,,
OCEDB-87212464-80191031,3686,OCEDB081442F020021772,"81442",0,,
OCEDB-87212464-80191031,5,OCEDB081486F020021819,"81486",0,,
OCEDB-87212464-80191031,5,OCEDB081464F020021792,"81464",0,,
OCEDB-87212464-80191031,3686,OCEDB081446F020021776,"81446",0,,
OCEDB-87212464-80191031,3,OCEDB081466F020021795,"81466",0,,
OCEDB-87212464-80191031,4624,OCEDB081478F020021810,"81478",0,,
OCEDB-87212464-80191031,3,OCEDB081468F020021797,"81468",0,,
OCEDB-87212464-80191031,4625,OCEDB081484F020021817,"81484",0,,
OCEDB-87212464-80191031,4,OCEDB081456F020021785,"81456",0,,
OCEDB-87212464-80191031,3,OCEDB081472F020021802,"81472",0,,
OCEDB-87212464-80191031,3686,OCEDB081440F020021770,"81440",0,,
OCEDB-87212464-80191031,4,OCEDB081454F020021783,"81454",0,,
OCEDB-87212464-80191031,4,OCEDB081458F020021786,"81458",0,,
OCEDB-87212464-80191031,3,OCEDB081450F020021780,"81450",0,,
OCEDB-87212464-80191031,3686,OCEDB081444F020021774,"81444",0,,
OCEDB-87212464-80191031,4626,OCEDB081470F040041799,"81470",0,,
OCEDB-87212464-80191031,4624,OCEDB081482F020021815,"81482",0,,
OCEDB-80143099-87212027,4590,OCEDB087453F020021844,"87453",1,,
OCEDB-80143099-87212027,3,OCEDB087459F020021846,"87459",1,,
OCEDB-80143099-87212027,4590,OCEDB087439F020021836,"87439",1,,
OCEDB-80143099-87212027,4590,OCEDB087451F020021842,"87451",1,,
OCEDB-80143099-87212027,3,OCEDB087447F020021840,"87447",1,,
OCEDB-80143099-87212027,4590,OCEDB087445F020021838,"87445",1,,
OCEDB-80143099-87212027,3,OCEDB087423F020021828,"87423",1,,
OCEDB-80143099-87212027,4590,OCEDB087415F020021825,"87415",1,,
OCEDB-80143099-87212027,4590,OCEDB087407F020021823,"87407",1,,
OCEDB-80143099-87212027,3,OCEDB087461F020021847,"87461",1,,
OCEDB-80143099-87212027,4640,OCEDB087463F030031848,"87463",1,,
OCEDB-80143099-87212027,3,OCEDB087437F020021834,"87437",1,,
OCEDB-80143099-87212027,3,OCEDB087431F020021831,"87431",1,,
OCEDB-80143099-87212027,4590,OCEDB087452F020021843,"87452",0,,
OCEDB-80143099-87212027,3,OCEDB087464F020021850,"87464",0,,
OCEDB-80143099-87212027,4590,OCEDB087418F020021826,"87418",0,,
OCEDB-80143099-87212027,3734,OCEDB087422F020021827,"87422",0,,
OCEDB-80143099-87212027,3,OCEDB087444F020021837,"87444",0,,
OCEDB-80143099-87212027,4590,OCEDB087438F020021835,"87438",0,,
OCEDB-80143099-87212027,4590,OCEDB087456F020021845,"87456",0,,
OCEDB-80143099-87212027,3734,OCEDB087428F020021829,"87428",0,,
OCEDB-80143099-87212027,4652,OCEDB087466F030031851,"87466",0,,
OCEDB-80143099-87212027,4590,OCEDB087432F020021832,"87432",0,,
OCEDB-80143099-87212027,4590,OCEDB087450F020021841,"87450",0,,
OCEDB-80143099-87212027,3734,OCEDB087436F020021833,"87436",0,,
OCEDB-80143099-87212027,3,OCEDB087430F020021830,"87430",0,,
OCEDB-80143099-87212027,4590,OCEDB087446F020021839,"87446",0,,
OCEDB-80143099-87212027,3,OCEDB087406F020021822,"87406",0,,
OCEDB-80143099-87212027,4590,OCEDB087412F020021824,"87412",0,,
OCE1109945,326,OCESN002013F100107009,"2013",1,,
OCE1109945,326,OCESN002011F090097002,"2011",1,,
OCE1109945,321,OCESN002035F110117049,"2035",1,,
OCE1109945,322,OCESN002035F130137050,"2035",1,,
OCE1109945,281,OCESN002005F080086996,"2005",1,,
OCE1109945,339,OCESN002027F150157038,"2027",1,,
OCE1109945,340,OCESN002027F120127037,"2027",1,,
